feature,gain,split
bm25_score,30933.987351179123,588
bm25_rank,30522.672569274902,512
semantic_rank,23124.772527456284,542
semantic_margin,19578.37628054619,818
quality_score,13497.013335943222,499
semantic_score,12352.510826587677,589
semantic_rank_inverse,11104.30173611641,161
rating_vs_category,10763.74401140213,541
bm25_rank_inverse,10601.910917043686,78
price,10046.73577952385,544
user_price_affinity,4239.966316461563,484
relative_price,4119.124860286713,267
user_deal_seeking,3763.931122303009,401
user_domain_knowledge,3696.900288105011,399
user_variety_seeking,3524.386587381363,378
description_overlap_ratio,3521.976872444153,100
user_brand_loyalty,3325.370054960251,387
user_ad_susceptibility,3275.3699867725372,366
rating,2850.6933245658875,137
user_novelty_preference,2743.475965976715,320
user_review_affinity,2696.8529274463654,312
user_price_sensitivity,2307.8092234134674,252
user_review_dependency,2092.779417037964,218
title_overlap_ratio,1817.5229494571686,79
price_norm,1791.378508090973,93
description_overlap_count,1232.0245413780212,45
title_overlap_count,756.0308103561401,34
exact_phrase_match,616.9416604042053,31
rating_norm,244.92156171798706,16
segment_bargain,186.13256883621216,22
segment_impulsive,131.49868965148926,15
segment_premium,113.34246110916138,14
segment_brand_loyal,96.05168008804321,12
segment_techie,86.09273052215576,12
segment_gifter,85.72458982467651,9
segment_minimalist,66.41071128845215,11
segment_general,64.34378981590271,9
log_price,46.118579387664795,5
category_match,0.0,0
cheap_item_flag,0.0,0
brand_match,0.0,0
user_brand_affinity,0.0,0
